Plant,Variety,Sub-Variety,Sub-Sub-Variety,# ,,Notes for seed group,Give Away Month,Planting Group,Gardener Level,Botanical Name,Open Pollenated,Light ,Start Indoors,Outdoors,Days to Maturity,Container Friendly,Support,Height,Spread,Type (in our zone)
Peppers,Fish,,,1,,,,,,,,,,,,,,,,
Peppers,Habanero,,,1,,,,,,,,,,,,,,,,
Peppers,Hungarian Hot Wax,,,2,,,,,,,,,,,,,,,,
Peppers,Jalapeno,Early,,9,,,,,,,,,,,,,,,,
Peppers,Marconi Red,,,1,,,,,,,,,,,,,,,,
Peppers,Pepperoncini,,,33,,,,,,,,,,,,,,,,
Peppers,Pretty n' Sweet,,,16,,,,,,,,,,,,,,,,
Peppers,Shishito,,,3,,,,,,,,,,,,,,,,
Peppers,Sweet,Italian,,2,,,,,,,,,,,,,,,,
Pumpkin,Baby Bear,,,28,,,,,,,,,,,,,,,,
Pumpkin,Big Max,,,28,,,,,,,,,,,,,,,,
Pumpkin,Casper,,,1,,,,,,,,,,,,,,,,
Pumpkin,Connecticut Field,,,33,,,,,,,,,,,,,,,,
Pumpkin,Fairytale,,,2,,,,,,,,,,,,,,,,
Pumpkin,Howden,,,4,,,,,,,,,,,,,,,,
Pumpkin,Jack Be Little,,,15,,,,,,,,,,,,,,,,
Pumpkin,Jack of all Trades,,,2,,,,,,,,,,,,,,,,
Pumpkin,Pepitas,,,5,,,,,,,,,,,,,,,,
Pumpkin,Small Sugar Pie,,,21,,,,,,,,,,,,,,,,
Radish,Caryone Colors,,,6,,,,,,,,,,,,,,,,
Radish,Cherry Belle,,,34,,,,,,,,,,,,,,,,
Radish,Cincinnati Market,,,1,,,,,,,,,,,,,,,,
Radish,Daikon,,,1,,,,,,,,,,,,,,,,
Radish,French Breakfast,,,2,,,,,,,,,,,,,,,,
Radish,Helios,,,1,,,,,,,,,,,,,,,,
Radish,Kaleidoscope,,,3,,,,,,,,,,,,,,,,
Radish,Red Arrow Daikon,,,5,,,,,,,,,,,,,,,,
Radish,Round Black Spanish,,,4,,,,,,,,,,,,,,,,
Radish,Starburst,,,2,,,,,,,,,,,,,,,,
Radish,Watermelon,,,11,,,,,,,,,,,,,,,,
Radish,White Icicle,,,2,,,,,,,,,,,,,,,,
Rutabaga,American Purple Top,,,15,,,,,,,,,,,,,,,,
Rutabaga,Joan,,,1,,,,,,,,,,,,,,,,
Rutabaga,Westport Macomber,,,1,,,,,,,,,,,,,,,,
Salsify,,,,1,,,,,,,,,,,,,,,,
Sorghum,Mixed Color Broomcorn,,,1,,,,,,,,,,,,,,,,
Squash,Amish Pie,,,2,,,,,,,,,,,,,,,,
Squash,Benning's Green Tint,,,1,,,,,,,,,,,,,,,,
Squash,Birdhouse Gourd,,,21,,,,,,,,,,,,,,,,
Squash,Blue Hubard,,,30,,,,,,,,,,,,,,,,
Squash,Buttercup,Burgess,,6,,,,,,,,,,,,,,,,
Squash,Buttercup,Gold Nugget,,2,,,,,,,,,,,,,,,,
Squash,Butternut,Butterbush,,2,,,,,,,,,,,,,,,,
Squash,Butternut,Honeynut,,5,,,,,,,,,,,,,,,,
Squash,Butternut,Waltham,,20,,,,,,,,,,,,,,,,
Squash,Cocozelle di Napoli,,,12,,,,,,,,,,,,,,,,
Squash,Crookneck,,,13,,,,,,,,,,,,,,,,
Squash,Cucuzzi Caravazzi,,,24,,,,,,,,,,,,,,,,
Squash,Delicata Winter,,,3,,,,,,,,,,,,,,,,
Squash,Dostal Cucumber,,,2,,,,,,,,,,,,,,,,
Squash,Golden Hubbard,,,21,,,,,,,,,,,,,,,,
Squash,Scallop Blend,,,8,,,,,,,,,,,,,,,,
Squash,Spaghetti,,,13,,,,,,,,,,,,,,,,
Squash,Straightneck,Early,,12,,,,,,,,,,,,,,,,
Squash,Straightneck,Summer,,21,,,,,,,,,,,,,,,,
Squash,Superpik,,,2,,,,,,,,,,,,,,,,
Tomatillo,Purple de Milpa,,,1,,,,,,,,,,,,,,,,
Tomatillo,Toma Verde,,,1,,,,,,,,,,,,,,,,
Tomato,Amish Paste,,,24,,,,,,,,,,,,,,,,
Tomato,Arkansas Traveler,,,1,,,,,,,,,,,,,,,,
Tomato,Beefsteak,,,1,,,,,,,,,,,,,,,,
Tomato,Best Boy,,,122,,,,,,,,,,,,,,,,
Tomato,Black Krim,,,1,,,,,,,,,,,,,,,,
Tomato,Bobcat,,,2,,,,,,,,,,,,,,,,
Tomato,Bradley,,,1,,,,,,,,,,,,,,,,
Tomato,Brandywine,Pink,,13,,,,,,,,,,,,,,,,
Tomato,Brandywine,Red,,1,,,,,,,,,,,,,,,,
Tomato,Brandywine,Yellow,,1,,,,,,,,,,,,,,,,
Tomato,Brown Berry,,,4,,,,,,,,,,,,,,,,
Tomato,Candyland Red,,,2,,,,,,,,,,,,,,,,
Tomato,Celebration,,,98,,,,,,,,,,,,,,,,
Tomato,Cherokee Purple,,,1,,,,,,,,,,,,,,,,
Tomato,Cherry,Goldie Ground,,2,,,,,,,,,,,,,,,,
Tomato,Cherry,Matt's Wild,,2,,,,,,,,,,,,,,,,
Tomato,Cherry,Pineapple,,45,,,,,,,,,,,,,,,,
Tomato,Cherry,Roma,,1,,,,,,,,,,,,,,,,
Tomato,Container Choice,,,38,,,,,,,,,,,,,,,,
Tomato,Culinary Blend,,,20,,,,,,,,,,,,,,,,
Tomato,Delicious,,,1,,,,,,,,,,,,,,,,
Tomato,Gardener's Sweetheart,,,7,,,,,,,,,,,,,,,,
Tomato,German Johnson,,,1,,,,,,,,,,,,,,,,
Tomato,Grape,Riesentraube,,23,,,,,,,,,,,,,,,,
Tomato,Grape,Sugar Plum,,20,,,,,,,,,,,,,,,,
Tomato,Green Zebra,,,1,,,,,,,,,,,,,,,,
Tomato,Hartman's Yellow Gooseberry,,,1,,,,,,,,,,,,,,,,
Tomato,Heinz 2654,,,1,,,,,,,,,,,,,,,,
Tomato,Indigo Rose,,,1,,,,,,,,,,,,,,,,
Tomato,Jennie,,,5,,,,,,,,,,,,,,,,
Tomato,Marglobe,,,9,,,,,,,,,,,,,,,,
Tomato,Marglobe Supreme,,,1,,,,,,,,,,,,,,,,
Tomato,Marlowe Charlestown,,,4,,,,,,,,,,,,,,,,
Tomato,Momotaro,,,2,,,,,,,,,,,,,,,,
Tomato,Mortgage Lifter,,,1,,,,,,,,,,,,,,,,
Tomato,Moskvich,,,1,,,,,,,,,,,,,,,,
Tomato,Mountain Princess,,,2,,,,,,,,,,,,,,,,
Tomato,Northern Delight,,,8,,,,,,,,,,,,,,,,
Tomato,Pantano Romanesco,,,3,,,,,,,,,,,,,,,,
Tomato,Pink Ponderosa,,,3,,,,,,,,,,,,,,,,
Tomato,Red Pear,,,3,,,,,,,,,,,,,,,,
Tomato,Red Racer,,,3,,,,,,,,,,,,,,,,
Tomato,Roma,San Marzano,,27,,,,,,,,,,,,,,,,
Tomato,Rutgers,,,1,,,,,,,,,,,,,,,,
Tomato,Sheboygan,,,1,,,,,,,,,,,,,,,,
Tomato,Southern Nights,,,4,,,,,,,,,,,,,,,,
Tomato,Stupice,,,1,,,,,,,,,,,,,,,,
Tomato,Velvet Red,,,1,,,,,,,,,,,,,,,,
Tomato,White Tomesol,,,1,,,,,,,,,,,,,,,,
Tomato,Yellow Pear,,,8,,,,,,,,,,,,,,,,
Turnip,Golden Ball,,,2,,,,,,,,,,,,,,,,
Turnip,Hakurei,,,1,,,,,,,,,,,,,,,,
Turnip,Purple Top White,,,27,,,,,,,,,,,,,,,,
Turnip,Seven Top,,,7,,,,,,,,,,,,,,,,
Watermelon,Borries Yello,,,1,,,,,,,,,,,,,,,,
Watermelon,Cal Sweet Bush,,,2,,,,,,,,,,,,,,,,
Watermelon,Charleston Gray,,,8,,,,,,,,,,,,,,,,
Watermelon,Giant Black Diamond,,,1,,,,,,,,,,,,,,,,
Watermelon,Moon & Stars,,,14,,,,,,,,,,,,,,,,
Zucchini,Black Beauty,,,1,,,,,,,,,,,,,,,,
Zucchini,Cavili,,,1,,,,,,,,,,,,,,,,
Zucchini,Costata Romanesco,,,1,,,,,,,,,,,,,,,,
Zucchini,Dark Green,,,16,,,,,,,,,,,,,,,,
Zucchini,Fordhook,,,7,,,,,,,,,,,,,,,,
Zucchini,Golden Hubbard,,,2,,,,,,,,,,,,,,,,
Zucchini,Ronde de Nice,,,4,,,,,,,,,,,,,,,,
